,album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,Artist
0,Breath of Love: Last Piece,1,0pDh5dMblZFw7bXRsbekZ1,Breath,spotify:track:0pDh5dMblZFw7bXRsbekZ1,0.109,0.724,0.846,0.0,0.0958,-3.785,0.0538,129.959,0.64,55,GOT7
1,Breath of Love: Last Piece,2,6xrjIHbm6ga5J8HhOS2Rmn,LAST PIECE,spotify:track:6xrjIHbm6ga5J8HhOS2Rmn,0.0324,0.715,0.866,0.0,0.109,-5.505,0.148,98.034,0.688,57,GOT7
2,Breath of Love: Last Piece,3,04YPwOU37XTnzrPTltJz1B,Born Ready,spotify:track:04YPwOU37XTnzrPTltJz1B,0.128,0.839,0.564,0.0,0.241,-7.282,0.0614,124.04,0.515,45,GOT7
3,Breath of Love: Last Piece,4,64vGGXR2JO75ngSyAsvb8d,SPECIAL,spotify:track:64vGGXR2JO75ngSyAsvb8d,0.103,0.761,0.724,0.0,0.0378,-4.569,0.105,90.014,0.883,46,GOT7
4,Breath of Love: Last Piece,5,6oEgj9nOyX7mqEbgP6bKBH,WAVE,spotify:track:6oEgj9nOyX7mqEbgP6bKBH,0.0671,0.547,0.616,0.0,0.357,-5.537,0.0843,154.802,0.418,47,GOT7
5,Breath of Love: Last Piece,6,0nC5ebLXfpgOKOw05joNkq,Waiting For You,spotify:track:0nC5ebLXfpgOKOw05joNkq,0.208,0.625,0.622,8.2e-05,0.17,-6.279,0.0342,146.048,0.279,45,GOT7
6,Breath of Love: Last Piece,7,72CFnNVdYSWvH70PkovdM2,"Thank You, Sorry",spotify:track:72CFnNVdYSWvH70PkovdM2,0.257,0.649,0.528,0.0,0.0987,-7.262,0.0431,80.016,0.496,46,GOT7
7,Breath of Love: Last Piece,8,1hcdSZ6FasEAByx6BrjGXY,1+1,spotify:track:1hcdSZ6FasEAByx6BrjGXY,0.141,0.717,0.863,3.94e-06,0.218,-6.263,0.0486,144.016,0.82,46,GOT7
8,Breath of Love: Last Piece,9,2Efpgql2LGwTC3TGEed2ol,I Mean It,spotify:track:2Efpgql2LGwTC3TGEed2ol,0.00807,0.855,0.809,0.000747,0.293,-4.973,0.0639,123.999,0.667,45,GOT7
9,Breath of Love: Last Piece,10,7JkWbwxCqmm913MgcxIozF,We Are Young,spotify:track:7JkWbwxCqmm913MgcxIozF,0.254,0.786,0.639,0.0,0.116,-5.313,0.0584,140.011,0.724,45,GOT7
29,Love Loop,1,63XFgN7jJH5RZW0zHy3i7h,LOVE LOOP,spotify:track:63XFgN7jJH5RZW0zHy3i7h,0.141,0.577,0.695,0.0,0.264,-4.008,0.034,128.024,0.229,44,GOT7
30,Love Loop,2,78TX9OaJQrhDDmRdEXAuyD,YOUR SPACE,spotify:track:78TX9OaJQrhDDmRdEXAuyD,0.0177,0.703,0.727,0.0,0.107,-5.106,0.202,150.035,0.322,30,GOT7
31,Love Loop,3,3UFrb2qBvZcvqWHdHYTf1h,備忘録,spotify:track:3UFrb2qBvZcvqWHdHYTf1h,0.0955,0.847,0.678,0.0,0.082,-4.566,0.0831,110.024,0.583,30,GOT7
32,Love Loop,4,6y0QfCYgK1dDzJotwMVY4y,KARMA,spotify:track:6y0QfCYgK1dDzJotwMVY4y,0.25,0.599,0.664,3.17e-05,0.0764,-7.103,0.0739,179.89,0.55,31,GOT7
